Date,Hour,Time of Day,Channel,Service Type,Ad Spend,Conversions,Revenue,Customer Type
2024-10-15,18,Evening,Online,Premium,32.11,3,222.73,New
2024-07-03,16,Afternoon,Phone,Premium,89.07,3,583.81,New
2024-06-27,14,Afternoon,Walk-in,Premium,96.69,0,0,Returning
2025-03-16,10,Morning,Phone,Deluxe,76.69,2,343.42,New
2024-08-04,11,Morning,Online,Premium,25.82,3,146.78,New
2025-01-02,14,Afternoon,Online,Deluxe,91.58,3,272.68,New
2024-11-17,8,Morning,Online,Premium,56.56,2,101.43,Returning
2024-07-19,9,Morning,Social Media,Deluxe,73.74,5,390.95,New
2024-10-15,8,Morning,Online,Deluxe,84.71,2,287.15,Returning
2024-07-31,19,Evening,Phone,Premium,73.24,3,475.02,Returning
2024-07-26,15,Afternoon,Walk-in,Deluxe,27.99,3,142.72,Returning
2024-07-06,19,Evening,Walk-in,Deluxe,14.55,3,58.98,New
2024-05-25,16,Afternoon,Online,Premium,81.69,4,597.92,New
2024-12-25,13,Afternoon,Walk-in,Basic,5.09,2,11.88,New
2024-09-26,12,Afternoon,Phone,Deluxe,90.62,5,723.93,New
2025-03-26,18,Evening,Walk-in,Premium,13.56,3,69.84,Returning
2024-05-22,16,Afternoon,Walk-in,Deluxe,90.52,2,145.77,Returning
2024-06-18,20,Evening,Walk-in,Premium,54.5,1,47.74,New
2025-03-03,14,Afternoon,Phone,Deluxe,10.06,2,34.65,Returning
2024-10-18,16,Afternoon,Social Media,Deluxe,56.3,5,604.43,Returning
2024-09-10,11,Morning,Online,Deluxe,39.55,3,202.36,Returning
2025-02-21,12,Afternoon,Online,Premium,56.41,3,396.45,New
2025-01-18,16,Afternoon,Walk-in,Deluxe,56.02,4,281.25,New
2024-12-08,16,Afternoon,Walk-in,Basic,58.52,0,0,Returning
2024-08-19,9,Morning,Online,Basic,81.37,3,196.04,New
2025-04-08,20,Evening,Walk-in,Premium,92.7,3,656.56,New
2024-06-13,21,Night,Social Media,Premium,29.02,0,0,Returning
2025-01-07,16,Afternoon,Walk-in,Premium,35.37,6,370.14,New
2024-05-14,12,Afternoon,Phone,Deluxe,53.03,0,0,Returning
2025-02-03,15,Afternoon,Walk-in,Premium,22.89,5,106.54,New
2024-07-29,8,Morning,Walk-in,Basic,98.11,1,81.7,Returning
2024-12-06,13,Afternoon,Phone,Deluxe,51.12,3,307.41,Returning
2025-03-23,14,Afternoon,Online,Deluxe,97.18,2,221.44,New
2024-10-17,8,Morning,Online,Deluxe,81.25,2,294.12,New
2024-08-22,21,Night,Online,Deluxe,18.86,5,225.51,Returning
2024-11-08,15,Afternoon,Online,Deluxe,60.93,5,538.26,New
2024-08-30,18,Evening,Walk-in,Deluxe,80.08,2,374.3,New
2024-09-10,18,Evening,Online,Basic,25.98,4,157.84,Returning
2025-02-21,18,Evening,Online,Basic,63.88,2,284.38,New
2025-04-23,16,Afternoon,Walk-in,Premium,70.2,4,457.53,Returning
2024-10-10,12,Afternoon,Social Media,Premium,43.41,2,186.22,Returning
2024-10-22,19,Evening,Online,Basic,70.14,3,322.66,New
2025-01-15,19,Evening,Online,Deluxe,15.59,1,32.8,New
2024-07-13,16,Afternoon,Phone,Deluxe,58.3,3,278.41,New
2024-10-05,13,Afternoon,Walk-in,Deluxe,52.3,2,192.6,New
2024-11-14,14,Afternoon,Walk-in,Premium,70.79,2,238.22,New
2025-03-16,18,Evening,Phone,Premium,68.37,1,102.64,New
2024-05-14,15,Afternoon,Phone,Basic,87.49,2,169.78,Returning
2024-11-12,11,Morning,Walk-in,Deluxe,55.41,4,477.63,New
2024-07-03,16,Afternoon,Walk-in,Premium,98.89,3,397.25,New
2025-01-04,9,Morning,Online,Premium,8.73,4,54.15,Returning
2024-12-30,17,Evening,Social Media,Deluxe,89.49,4,576.56,New
2025-03-02,19,Evening,Online,Deluxe,78.94,10,935.82,Returning
2024-07-16,18,Evening,Online,Premium,65.12,1,129.26,Returning
2025-04-22,12,Afternoon,Walk-in,Premium,34.06,2,151.5,New
2025-04-28,21,Night,Online,Deluxe,12.95,3,73.52,New
2024-05-11,8,Morning,Walk-in,Basic,43.46,2,73.45,New
2024-07-01,17,Evening,Online,Premium,58.39,7,872.96,Returning
2024-05-02,13,Afternoon,Social Media,Basic,55.51,3,277.41,Returning
2024-08-21,18,Evening,Walk-in,Deluxe,7.82,4,59.36,Returning
2024-12-24,15,Afternoon,Walk-in,Premium,85.26,2,218.26,Returning
2024-11-06,15,Afternoon,Phone,Basic,46.55,5,515.57,Returning
2025-03-27,15,Afternoon,Walk-in,Premium,49.79,2,160.11,New
2024-05-18,10,Morning,Online,Basic,27.13,1,36.77,Returning
2025-03-26,21,Night,Online,Deluxe,36.53,3,112.03,Returning
2025-01-20,19,Evening,Social Media,Deluxe,8.33,1,11.77,New
2024-07-17,8,Morning,Online,Basic,75.91,2,306.32,New
2024-07-21,12,Afternoon,Social Media,Basic,50.55,1,75.46,New
2024-05-04,18,Evening,Online,Deluxe,75.26,4,409.13,Returning
2024-09-29,10,Morning,Phone,Premium,30.9,3,132.08,Returning
2024-06-20,20,Evening,Phone,Deluxe,90.32,2,232.91,New
2024-08-09,16,Afternoon,Phone,Deluxe,62.43,5,605.35,Returning
2025-02-14,20,Evening,Walk-in,Deluxe,73.85,0,0,Returning
2024-11-20,15,Afternoon,Online,Premium,13.94,1,30.31,New
2024-10-29,13,Afternoon,Walk-in,Premium,92.37,5,757.21,Returning
2024-06-25,16,Afternoon,Online,Premium,27.84,5,333.22,Returning
2024-10-08,21,Night,Walk-in,Deluxe,28.58,5,299.25,Returning
2025-03-16,17,Evening,Walk-in,Basic,79.73,3,326.57,New
2024-10-26,10,Morning,Phone,Premium,38.83,2,190.54,New
